Date,Close
27-04-2013,134.21
28-04-2013,144.54
29-04-2013,139
30-04-2013,116.99
01-05-2013,105.21
02-05-2013,97.75
03-05-2013,112.5
04-05-2013,115.91
05-05-2013,112.3
06-05-2013,111.5
07-05-2013,113.57
08-05-2013,112.67
09-05-2013,117.2
10-05-2013,115.24
11-05-2013,115
12-05-2013,117.98
13-05-2013,111.5
14-05-2013,114.22
15-05-2013,118.76
16-05-2013,123.02
17-05-2013,123.5
18-05-2013,121.99
19-05-2013,122
20-05-2013,122.88
21-05-2013,123.89
22-05-2013,126.7
23-05-2013,133.2
24-05-2013,131.98
25-05-2013,133.48
26-05-2013,129.75
27-05-2013,129
28-05-2013,132.3
29-05-2013,128.8
30-05-2013,129
31-05-2013,129.3
01-06-2013,122.29
02-06-2013,122.22
03-06-2013,121.42
04-06-2013,121.65
05-06-2013,118
06-06-2013,111.5
07-06-2013,108.3
08-06-2013,100
09-06-2013,106.35
10-06-2013,108.9
11-06-2013,108.15
12-06-2013,104
13-06-2013,99.98
14-06-2013,99.99
15-06-2013,99.51
16-06-2013,101.7
17-06-2013,107.4
18-06-2013,108.25
19-06-2013,110.15
20-06-2013,109.5
21-06-2013,108.3
22-06-2013,107.6
23-06-2013,102.74
24-06-2013,103.95
25-06-2013,104
26-06-2013,101.44
27-06-2013,94.65
28-06-2013,94.99
29-06-2013,96.61
30-06-2013,88.05
01-07-2013,90.13
02-07-2013,77.53
03-07-2013,80.53
04-07-2013,68.43
05-07-2013,70.28
06-07-2013,74.56
07-07-2013,76.52
08-07-2013,76.69
09-07-2013,86.76
10-07-2013,88.98
11-07-2013,93.59
12-07-2013,98.13
13-07-2013,94.69
14-07-2013,98.4
15-07-2013,97.45
16-07-2013,98.5
17-07-2013,90.58
18-07-2013,92.17
19-07-2013,89.39
20-07-2013,90.76
21-07-2013,91.61
22-07-2013,95.56
23-07-2013,94.51
24-07-2013,96.9
25-07-2013,96.02
26-07-2013,94.12
27-07-2013,99.76
28-07-2013,101.2
29-07-2013,107.99
30-07-2013,106.09
31-07-2013,104
01-08-2013,104.5
02-08-2013,104
03-08-2013,105.14
04-08-2013,106.22
05-08-2013,106.75
06-08-2013,106.75
07-08-2013,103
08-08-2013,102.8
09-08-2013,103
10-08-2013,105
11-08-2013,106.64
12-08-2013,109
13-08-2013,112.56
14-08-2013,109.99
15-08-2013,108.99
16-08-2013,113.5
17-08-2013,113.5
18-08-2013,119
19-08-2013,121.2
20-08-2013,123.3
21-08-2013,121.15
22-08-2013,118.5
23-08-2013,120.05
24-08-2013,122.11
25-08-2013,120.06
26-08-2013,126.5
27-08-2013,122.62
28-08-2013,122.39
29-08-2013,133.49
30-08-2013,135.35
31-08-2013,138.34
01-09-2013,135.85
02-09-2013,136.77
03-09-2013,126.74
04-09-2013,126.43
05-09-2013,119.15
06-09-2013,124.15
07-09-2013,121.66
08-09-2013,127.11
09-09-2013,125.91
10-09-2013,135.25
11-09-2013,133.13
12-09-2013,134.98
13-09-2013,129.22
14-09-2013,130.37
15-09-2013,131.72
16-09-2013,131.66
17-09-2013,131.47
18-09-2013,129.65
19-09-2013,127.04
20-09-2013,127.43
21-09-2013,129.12
22-09-2013,125.95
23-09-2013,127.25
24-09-2013,128.22
25-09-2013,128.38
26-09-2013,133.78
27-09-2013,134.78
28-09-2013,137.34
29-09-2013,133
30-09-2013,132.18
01-10-2013,114.13
02-10-2013,123.63
03-10-2013,129.01
04-10-2013,128.55
05-10-2013,129
06-10-2013,126.94
07-10-2013,126
08-10-2013,130.69
09-10-2013,130.59
10-10-2013,130.9
11-10-2013,135.19
12-10-2013,138.13
13-10-2013,140.52
14-10-2013,145.24
15-10-2013,142.55
16-10-2013,146.25
17-10-2013,155.96
18-10-2013,172.42
19-10-2013,174.61
20-10-2013,182.21
21-10-2013,193.76
22-10-2013,213.62
23-10-2013,198.23
24-10-2013,186.69
25-10-2013,177.32
26-10-2013,196.44
27-10-2013,198.55
28-10-2013,204.39
29-10-2013,199.97
30-10-2013,204
31-10-2013,206.18
01-11-2013,206.22
02-11-2013,215.05
03-11-2013,229.1
04-11-2013,245.24
05-11-2013,262.5
06-11-2013,296.41
07-11-2013,338.11
08-11-2013,339.11
09-11-2013,326.62
10-11-2013,342.44
11-11-2013,360.33
12-11-2013,407.37
13-11-2013,420.2
14-11-2013,417.95
15-11-2013,440.22
16-11-2013,492.11
17-11-2013,703.56
18-11-2013,584.61
19-11-2013,590.83
20-11-2013,722.43
21-11-2013,771.44
22-11-2013,797.82
23-11-2013,774.25
24-11-2013,799.11
25-11-2013,928.1
26-11-2013,1001.96
27-11-2013,1031.95
28-11-2013,1131.97
29-11-2013,1129.43
30-11-2013,955.85
01-12-2013,1043.33
02-12-2013,1078.28
03-12-2013,1151.17
04-12-2013,1045.11
05-12-2013,829.45
06-12-2013,698.23
07-12-2013,795.87
08-12-2013,893.19
09-12-2013,988.51
10-12-2013,878.48
11-12-2013,873.26
12-12-2013,892.58
13-12-2013,872.6
14-12-2013,876.12
15-12-2013,705.97
16-12-2013,682.12
17-12-2013,522.7
18-12-2013,691.96
19-12-2013,625.32
20-12-2013,605.66
21-12-2013,617.18
22-12-2013,673.41
23-12-2013,665.58
24-12-2013,682.21
25-12-2013,761.98
26-12-2013,735.07
27-12-2013,727.83
28-12-2013,745.05
29-12-2013,756.13
30-12-2013,754.01
31-12-2013,771.4
01-01-2014,802.39
02-01-2014,818.72
03-01-2014,859.51
04-01-2014,933.53
05-01-2014,953.29
06-01-2014,802
07-01-2014,842.72
08-01-2014,846.86
09-01-2014,868.48
10-01-2014,913.95
11-01-2014,863.22
12-01-2014,841.2
13-01-2014,833.27
14-01-2014,860.9
15-01-2014,835.63
16-01-2014,814.64
17-01-2014,840
18-01-2014,870.96
19-01-2014,870.2
20-01-2014,863.91
21-01-2014,845.59
22-01-2014,822.04
23-01-2014,797.07
24-01-2014,853.61
25-01-2014,885.28
26-01-2014,771.39
27-01-2014,812.51
28-01-2014,826
29-01-2014,819.03
